date,state,party,first_votes,first_share,second_votes,second_share
2025-02-23,Bayern,FREIE WÄHLER,,,,
2025-02-23,Bayern,Gartenpartei,,,,
2025-02-23,Bayern,Graue Panther,,,,
2025-02-23,Bayern,Klimaliste Baden-Württemberg,,,,
2025-02-23,Bayern,Liberale Demokraten - Die Sozialliberalen,,,,
2025-02-23,Bayern,Liberal-Konservative Reformer,,,,
2025-02-23,Bayern,Lobbyisten für Kinder,,,,
2025-02-23,Bayern,Marxistisch-Leninistische Partei Deutschlands,890.0,0.0,1652.0,0.0
2025-02-23,Bayern,Menschliche Welt,,,,
2025-02-23,Bayern,MERA25 - Gemeinsam für Europäische Unabhängigkeit,,,,
2025-02-23,Bayern,Mieterpartei,,,,
2025-02-23,Bayern,Nein!-Idee,,,,
2025-02-23,Bayern,Neue Liberale - Die Sozialliberalen,,,,
2025-02-23,Bayern,Ökologisch-Demokratische Partei,49197.0,0.6,33367.0,0.4
2025-02-23,Bayern,Partei Bibeltreuer Christen,,,,
2025-02-23,Bayern,Partei der Humanisten,613.0,0.0,5466.0,0.1
2025-02-23,Bayern,Partei der Nichtwähler,,,,
2025-02-23,Bayern,Partei der Vernunft,,,,
2025-02-23,Bayern,Partei des Fortschritts,,,,
2025-02-23,Bayern,Partei für Verjüngungsforschung,,,,
2025-02-23,Bayern,PARTEI MENSCH UMWELT TIERSCHUTZ,28481.0,0.4,61869.0,0.8
2025-02-23,Bayern,Piratenpartei Deutschland,,,,
2025-02-23,Bayern,RENTNER Partei Deutschland,,,,
2025-02-23,Bayern,"SGV - Solidarität, Gerechtigkeit, Veränderung",,,,
2025-02-23,Bayern,"Sozialist.Gleichheitspartei, Vierte Internationale",,,,
2025-02-23,Bayern,Südschleswigscher Wählerverband,,,,
2025-02-23,Bayern,Thüringer Heimatpartei,,,,
2025-02-23,Bayern,UNABHÄNGIGE für bürgernahe Demokratie,,,,
2025-02-23,Bayern,Volt Deutschland,66017.0,0.8,50671.0,0.6
2025-02-23,Bayern,"V-Partei3 - Partei f. Veränd., Vegetarier, Veganer",,,,
2025-02-23,Bayern,WerteUnion,,,,
2025-02-23,Bayern,WiR2020,,,,
2025-02-23,Bayern,Sonstige Parteien,16599.0,0.2,,
2025-02-23,Berlin,Christlich Demokratische Union Deutschlands,413893.0,21.3,356099.0,18.3
2025-02-23,Berlin,Alternative für Deutschland,294546.0,15.2,296990.0,15.2
2025-02-23,Berlin,Sozialdemokratische Partei Deutschlands,326663.0,16.8,295182.0,15.1
2025-02-23,Berlin,BÜNDNIS 90/DIE GRÜNEN,338231.0,17.4,328035.0,16.8
2025-02-23,Berlin,Die Linke,423549.0,21.8,387222.0,19.9
2025-02-23,Berlin,Christlich-Soziale Union in Bayern e.V.,,,,
2025-02-23,Berlin,Ab jetzt... Demokratie durch Volksabstimmung,,,,
2025-02-23,Berlin,Allianz Deutscher Demokraten,,,,
2025-02-23,Berlin,"Allianz für Menschenrechte, Tier- und Naturschutz",,,,
2025-02-23,Berlin,Basisdemokratische Partei Deutschland,,,,
2025-02-23,Berlin,Bayernpartei,,,,
2025-02-23,Berlin,"bergpartei, die überpartei",,,,
2025-02-23,Berlin,Brandenb. Verein. Bürgerbewegungen/Freie Wähler,9141.0,0.5,6402.0,0.3
2025-02-23,Berlin,Bund für Gesamtdeutschland,,,,
2025-02-23,Berlin,Bündnis 21/RRP,,,,
2025-02-23,Berlin,Bündnis C - Christen für Deutschland,,,,
2025-02-23,Berlin,BÜNDNIS DEUTSCHLAND,7464.0,0.4,2960.0,0.2
2025-02-23,Berlin,Bündnis für Innovation und Gerechtigkeit,,,,
2025-02-23,Berlin,Bündnis Grundeinkommen,,,,
2025-02-23,Berlin,Bündnis Sahra Wagenknecht,41787.0,2.2,129651.0,6.7
2025-02-23,Berlin,Bürgerbewegung für Fortschritt und Wandel,,,,
2025-02-23,Berlin,Bürgerbewegung pro Deutschland,,,,
2025-02-23,Berlin,Bürgerrechtsbewegung Solidarität,1295.0,0.1,676.0,0.0
2025-02-23,Berlin,Demokratie in Bewegung,,,,
2025-02-23,Berlin,DER DRITTE WEG,,,,
2025-02-23,Berlin,Deutsche Kommunistische Partei,,,,
2025-02-23,Berlin,DEUTSCHE KONSERVATIVE,,,,
2025-02-23,Berlin,Deutsche Mitte,,,,
2025-02-23,Berlin,Die Einheit,,,,
2025-02-23,Berlin,Die Gerechtigkeitspartei - Team Todenhöfer,4694.0,0.2,4532.0,0.2
2025-02-23,Berlin,Die Grauen - Für alle Generationen,,,,
2025-02-23,Berlin,Die Heimat,,,,
2025-02-23,Berlin,Die Partei,8425.0,0.4,12881.0,0.7
2025-02-23,Berlin,DIE RECHTE,,,,
2025-02-23,Berlin,DIE REPUBLIKANER,,,,
2025-02-23,Berlin,DIE SONSTIGEN,,,,
2025-02-23,Berlin,Die Urbane. Eine HipHop Partei,,,,
2025-02-23,Berlin,Die Violetten,,,,
2025-02-23,Berlin,diePinken/BÜNDNIS21,,,,
2025-02-23,Berlin,Europäische Partei LIEBE,,,,
2025-02-23,Berlin,Familien-Partei Deutschlands,,,,
2025-02-23,Berlin,Feministische Partei DIE FRAUEN,,,,
2025-02-23,Berlin,Freie Demokratische Partei,52575.0,2.7,74076.0,3.8
2025-02-23,Berlin,FREIE WÄHLER,,,,
2025-02-23,Berlin,Gartenpartei,,,,
2025-02-23,Berlin,Graue Panther,,,,
2025-02-23,Berlin,Klimaliste Baden-Württemberg,,,,
2025-02-23,Berlin,Liberale Demokraten - Die Sozialliberalen,,,,
2025-02-23,Berlin,Liberal-Konservative Reformer,,,,
2025-02-23,Berlin,Lobbyisten für Kinder,,,,
2025-02-23,Berlin,Marxistisch-Leninistische Partei Deutschlands,1244.0,0.1,925.0,0.0
2025-02-23,Berlin,Menschliche Welt,,,,
2025-02-23,Berlin,MERA25 - Gemeinsam für Europäische Unabhängigkeit,658.0,0.0,2439.0,0.1
2025-02-23,Berlin,Mieterpartei,,,,
2025-02-23,Berlin,Nein!-Idee,,,,
2025-02-23,Berlin,Neue Liberale - Die Sozialliberalen,,,,
2025-02-23,Berlin,Ökologisch-Demokratische Partei,,,,
2025-02-23,Berlin,Partei Bibeltreuer Christen,,,,
2025-02-23,Berlin,Partei der Humanisten,,,,
2025-02-23,Berlin,Partei der Nichtwähler,,,,
2025-02-23,Berlin,Partei der Vernunft,,,,
2025-02-23,Berlin,Partei des Fortschritts,,,3423.0,0.2
2025-02-23,Berlin,Partei für Verjüngungsforschung,,,,
2025-02-23,Berlin,PARTEI MENSCH UMWELT TIERSCHUTZ,15740.0,0.8,29384.0,1.5
2025-02-23,Berlin,Piratenpartei Deutschland,,,,
2025-02-23,Berlin,RENTNER Partei Deutschland,,,,
2025-02-23,Berlin,"SGV - Solidarität, Gerechtigkeit, Veränderung",,,,
2025-02-23,Berlin,"Sozialist.Gleichheitspartei, Vierte Internationale",73.0,0.0,425.0,0.0
2025-02-23,Berlin,Südschleswigscher Wählerverband,,,,
2025-02-23,Berlin,Thüringer Heimatpartei,,,,
2025-02-23,Berlin,UNABHÄNGIGE für bürgernahe Demokratie,,,,
2025-02-23,Berlin,Volt Deutschland,,,18231.0,0.9
2025-02-23,Berlin,"V-Partei3 - Partei f. Veränd., Vegetarier, Veganer",,,,
2025-02-23,Berlin,WerteUnion,,,,
2025-02-23,Berlin,WiR2020,,,,
2025-02-23,Berlin,Sonstige Parteien,2660.0,0.1,,
2025-02-23,Brandenburg,Christlich Demokratische Union Deutschlands,332331.0,20.2,298048.0,18.1
2025-02-23,Brandenburg,Alternative für Deutschland,565718.0,34.4,535275.0,32.5
2025-02-23,Brandenburg,Sozialdemokratische Partei Deutschlands,337040.0,20.5,244010.0,14.8
2025-02-23,Brandenburg,BÜNDNIS 90/DIE GRÜNEN,86006.0,5.2,108598.0,6.6
2025-02-23,Brandenburg,Die Linke,189182.0,11.5,176224.0,10.7
2025-02-23,Brandenburg,Christlich-Soziale Union in Bayern e.V.,,,,
2025-02-23,Brandenburg,Ab jetzt... Demokratie durch Volksabstimmung,,,,
2025-02-23,Brandenburg,Allianz Deutscher Demokraten,,,,
2025-02-23,Brandenburg,"Allianz für Menschenrechte, Tier- und Naturschutz",,,,
2025-02-23,Brandenburg,Basisdemokratische Partei Deutschland,,,,
2025-02-23,Brandenburg,Bayernpartei,,,,
2025-02-23,Brandenburg,"bergpartei, die überpartei",,,,
2025-02-23,Brandenburg,Brandenb. Verein. Bürgerbewegungen/Freie Wähler,53057.0,3.2,23969.0,1.5
2025-02-23,Brandenburg,Bund für Gesamtdeutschland,,,,
2025-02-23,Brandenburg,Bündnis 21/RRP,,,,
2025-02-23,Brandenburg,Bündnis C - Christen für Deutschland,,,,
2025-02-23,Brandenburg,BÜNDNIS DEUTSCHLAND,3564.0,0.2,4147.0,0.3
2025-02-23,Brandenburg,Bündnis für Innovation und Gerechtigkeit,,,,
2025-02-23,Brandenburg,Bündnis Grundeinkommen,,,,
2025-02-23,Brandenburg,Bündnis Sahra Wagenknecht,,,176405.0,10.7
2025-02-23,Brandenburg,Bürgerbewegung für Fortschritt und Wandel,,,,
2025-02-23,Brandenburg,Bürgerbewegung pro Deutschland,,,,
2025-02-23,Brandenburg,Bürgerrechtsbewegung Solidarität,,,,
2025-02-23,Brandenburg,Demokratie in Bewegung,,,,
2025-02-23,Brandenburg,DER DRITTE WEG,,,,
2025-02-23,Brandenburg,Deutsche Kommunistische Partei,,,,
2025-02-23,Brandenburg,DEUTSCHE KONSERVATIVE,,,,
2025-02-23,Brandenburg,Deutsche Mitte,,,,
2025-02-23,Brandenburg,Die Einheit,,,,
2025-02-23,Brandenburg,Die Gerechtigkeitspartei - Team Todenhöfer,,,,
2025-02-23,Brandenburg,Die Grauen - Für alle Generationen,,,,
2025-02-23,Brandenburg,Die Heimat,,,,
2025-02-23,Brandenburg,Die Partei,15439.0,0.9,14706.0,0.9
2025-02-23,Brandenburg,DIE RECHTE,,,,
2025-02-23,Brandenburg,DIE REPUBLIKANER,,,,
2025-02-23,Brandenburg,DIE SONSTIGEN,,,,
2025-02-23,Brandenburg,Die Urbane. Eine HipHop Partei,,,,
2025-02-23,Brandenburg,Die Violetten,,,,
2025-02-23,Brandenburg,diePinken/BÜNDNIS21,,,,
2025-02-23,Brandenburg,Europäische Partei LIEBE,,,,
2025-02-23,Brandenburg,Familien-Partei Deutschlands,,,,
2025-02-23,Brandenburg,Feministische Partei DIE FRAUEN,,,,
2025-02-23,Brandenburg,Freie Demokratische Partei,44451.0,2.7,53467.0,3.2
2025-02-23,Brandenburg,FREIE WÄHLER,,,,
2025-02-23,Brandenburg,Gartenpartei,,,,
2025-02-23,Brandenburg,Graue Panther,,,,
2025-02-23,Brandenburg,Klimaliste Baden-Württemberg,,,,
2025-02-23,Brandenburg,Liberale Demokraten - Die Sozialliberalen,,,,
2025-02-23,Brandenburg,Liberal-Konservative Reformer,,,,
2025-02-23,Brandenburg,Lobbyisten für Kinder,,,,
2025-02-23,Brandenburg,Marxistisch-Leninistische Partei Deutschlands,,,1119.0,0.1
2025-02-23,Brandenburg,Menschliche Welt,,,,
2025-02-23,Brandenburg,MERA25 - Gemeinsam für Europäische Unabhängigkeit,,,,
2025-02-23,Brandenburg,Mieterpartei,,,,
2025-02-23,Brandenburg,Nein!-Idee,,,,
2025-02-23,Brandenburg,Neue Liberale - Die Sozialliberalen,,,,
2025-02-23,Brandenburg,Ökologisch-Demokratische Partei,,,,
2025-02-23,Brandenburg,Partei Bibeltreuer Christen,,,,
